,00:00:00,00:05:00,00:10:00,00:15:00,00:20:00,00:25:00,00:30:00,00:35:00,00:40:00,00:45:00,00:50:00,00:55:00,01:00:00,01:05:00,01:10:00,01:15:00,01:20:00,01:25:00,01:30:00,01:35:00,01:40:00,01:45:00,01:50:00,01:55:00,02:00:00,02:05:00,02:10:00,02:15:00,02:20:00,02:25:00,02:30:00,02:35:00,02:40:00,02:45:00,02:50:00,02:55:00,03:00:00,03:05:00,03:10:00,03:15:00,03:20:00,03:25:00,03:30:00,03:35:00,03:40:00,03:45:00,03:50:00,03:55:00,04:00:00,04:05:00,04:10:00,04:15:00,04:20:00,04:25:00,04:30:00,04:35:00,04:40:00,04:45:00,04:50:00,04:55:00,05:00:00,05:05:00,05:10:00,05:15:00,05:20:00,05:25:00,05:30:00,05:35:00,05:40:00,05:45:00,05:50:00,05:55:00,06:00:00,06:05:00,06:10:00,06:15:00,06:20:00,06:25:00,06:30:00,06:35:00,06:40:00,06:45:00,06:50:00,06:55:00,07:00:00,07:05:00,07:10:00,07:15:00,07:20:00,07:25:00,07:30:00,07:35:00,07:40:00,07:45:00,07:50:00,07:55:00,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00,10:05:00,10:10:00,10:15:00,10:20:00,10:25:00,10:30:00,10:35:00,10:40:00,10:45:00,10:50:00,10:55:00,11:00:00,11:05:00,11:10:00,11:15:00,11:20:00,11:25:00,11:30:00,11:35:00,11:40:00,11:45:00,11:50:00,11:55:00,12:00:00,12:05:00,12:10:00,12:15:00,12:20:00,12:25:00,12:30:00,12:35:00,12:40:00,12:45:00,12:50:00,12:55:00,13:00:00,13:05:00,13:10:00,13:15:00,13:20:00,13:25:00,13:30:00,13:35:00,13:40:00,13:45:00,13:50:00,13:55:00,14:00:00,14:05:00,14:10:00,14:15:00,14:20:00,14:25:00,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:25:00,18:30:00,18:35:00,18:40:00,18:45:00,18:50:00,18:55:00,19:00:00,19:05:00,19:10:00,19:15:00,19:20:00,19:25:00,19:30:00,19:35:00,19:40:00,19:45:00,19:50:00,19:55:00,20:00:00,20:05:00,20:10:00,20:15:00,20:20:00,20:25:00,20:30:00,20:35:00,20:40:00,20:45:00,20:50:00,20:55:00,21:00:00,21:05:00,21:10:00,21:15:00,21:20:00,21:25:00,21:30:00,21:35:00,21:40:00,21:45:00,21:50:00,21:55:00,22:00:00,22:05:00,22:10:00,22:15:00,22:20:00,22:25:00,22:30:00,22:35:00,22:40:00,22:45:00,22:50:00,22:55:00,23:00:00,23:05:00,23:10:00,23:15:00,23:20:00,23:25:00,23:30:00,23:35:00,23:40:00,23:45:00,23:50:00,23:55:00,,
2021/10/27,0,0,0,0,0,0,2.2747,2.3616,4.3849,2.8905,3.7976,3.4975,4.8972,6.5669,3.9194,7.6604,2.7738,2.5772,2.9016,3.4208,1.077,0.7785,1.4923,2.3428,2.1135,3.4354,3.7036,3.5286,3.5258,2.2181,6.4118,2.8992,3.1151,2.7174,9.113,1.815,7.6977,1.6853,2.7119,4.7381,15.5672,16.9437,6.7129,3.8435,1.5732,9.2506,3.6695,3.382,0.8793,2.019,1.0449,4.0789,3.2969,3.2012,3.0728,2.9193,2.0605,2.4576,4.8401,1.2035,2.1639,4.5137,1.4392,1.2517,0.7794,0.5809,1.4359,3.4098,2.8902,5.2054,3.4829,17.1775,19.4238,18.5627,13.7714,11.6021,1.9747,2.7232,2.3316,1.9893,4.0129,2.9603,5.674,4.7598,3.5084,4.5682,4.0391,3.601,1.9648,2.851,2.5946,1.7363,1.2109,1.807,1.2836,5.1975,4.3527,1.2323,1.5837,2.5531,1.8356,14.2715,6.2928,6.4736,6.2119,7.3596,7.1295,2.5851,3.2081,2.369,3.7685,2.8593,2.6985,12.1664,4.0631,1.456,1.2217,0.5795,1.6855,0.7891,0.2631,0.1103,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/10/28,0,0,0,0,0,0,2.6324,0.8613,1.5706,2.0119,3.9482,6.5021,1.6493,3.3375,2.6087,2.1612,3.5704,4.3642,2.3957,4.6216,2.2799,1.9903,3.0753,4.3125,20.8616,19.119,17.8623,15.3604,2.5931,2.0587,1.5954,18.7023,2.9179,2.6964,3.569,3.9699,7.5459,6.1232,2.6624,1.956,3.3998,2.4165,3.1798,4.4034,4.8657,4.1608,3.2351,2.5739,0.9187,3.8268,2.5182,1.7142,3.3122,3.7002,3.686,3.347,3.0481,2.6369,2.0218,1.1578,2.1426,1.9334,0.7914,0.5515,0.5484,0.6411,1.4552,3.3537,3.1011,2.9277,3.1874,2.4334,3.7451,3.6488,3.1717,6.3911,2.0407,1.5656,2.1354,1.7245,1.7025,1.8096,1.5864,1.1804,2.5038,7.6174,14.2158,7.7705,6.227,4.207,4.4102,1.5046,1.5531,1.2762,1.7658,4.7265,6.7029,7.1089,3.0142,3.2721,4.9588,1.6122,4.0014,2.4801,10.8229,13.5152,2.4343,2.948,2.7086,4.9856,3.0268,1.904,2.3986,1.4252,6.0685,0.8074,1.9604,0.5241,1.1697,1.0659,0.9101,0.106,0.1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/10/29,0,0,0,0,0,0.4087,6.2213,8.0653,7.812,5.3007,1.5705,1.8017,2.7499,2.2238,6.133,5.1749,7.1532,10.0837,2.7921,3.2043,3.7435,4.9729,3.9243,2.2074,8.8441,5.0055,4.4218,1.4433,3.7276,5.47,2.7635,1.9787,1.6719,2.1519,2.302,7.0631,5.1346,7.3575,3.407,1.2459,1.558,2.2297,2.6845,2.7395,2.7852,2.2923,3.4958,1.9332,1.0646,1.1986,3.5311,3.4547,1.682,4.3358,2.3982,3.8391,4.1132,3.7024,2.493,3.4909,3.0365,1.7977,1.823,0.6653,4.1789,1.915,3.0261,5.7851,9.6907,7.402,6.1379,4.7637,10.4317,3.5006,5.3895,4.0373,5.5477,4.5862,5.8747,3.1391,4.5408,8.3274,5.6252,17.3444,6.5432,2.887,1.3637,2.2808,3.3254,2.3961,2.5068,2.6428,2.8552,2.1345,2.2924,1.3964,2.5373,4.8932,2.2578,6.7648,3.9337,2.2696,2.8361,2.27,2.1261,3.4066,3.9407,2.8652,3.0113,2.0984,1.8194,2.8579,3.4004,2.0069,1.9879,2.4455,3.0046,3.0172,8.9626,2.8754,1.9316,0.6722,0.3634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/1,0,0,0,0,0,0,9.0231,18.5918,6.252,4.5845,8.3595,6.5811,3.9276,4.399,4.0823,7.0223,4.561,3.3843,1.9562,3.4441,3.7978,1.7417,7.7526,1.8997,4.1323,1.2843,4.8205,1.7284,2.1986,2.2612,6.5072,5.2051,1.6522,2.158,1.1812,2.1455,3.0781,4.8605,5.1775,6.9513,0,6.9299,5.4285,4.1722,2.1174,4.8364,7.9742,6.9824,6.9629,4.098,5.0255,6.6794,6.2979,5.8045,5.8537,4.4329,5.2895,5.6187,0,0,0,0,0,0,0,0,3.1781,5.744,5.5751,7.1233,6.7987,3.9444,4.427,3.6838,2.2157,3.9922,0,2.5184,4.0351,2.9204,4.3696,4.5303,5.9996,3.7543,3.3009,3.2449,2.3947,1.9627,2.3827,2.9567,2.8458,3.2169,3.1768,5.2667,2.1891,2.5412,2.7765,2.9958,3.346,2.5495,4.061,3.9497,3.7692,3.3883,4.0112,2.9556,4.1204,4.3306,4.132,3.7199,4.2135,3.521,4.9077,4.2735,3.3626,4.0727,5.1551,3.5014,3.9951,1.0568,0.6814,0.5737,0.4872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/2,0,0,0,0,0,0,1.3285,4.9773,3.5245,4.681,7.4464,4.0891,3.6258,3.8758,3.7496,3.2807,2.4665,3.9521,3.9768,3.4705,4.0361,2.1717,2.9988,2.9284,4.5947,4.3461,4.7023,2.6742,2.5995,2.8791,2.2876,2.5152,2.0202,2.7544,4.0707,7.0466,5.8168,3.223,2.5298,2.7616,2.6041,2.6855,2.1715,2.351,4.3592,3.7085,3.754,2.9504,3.4038,6.7081,4.4874,2.9972,3.8733,6.4823,6.6192,5.8596,4.5433,5.9199,4.1948,6.9448,3.0042,3.8904,3.559,4.2255,4.7392,4.4167,3.7382,5.1754,4.2248,3.769,3.9608,4.1325,2.7164,2.8144,2.598,2.6769,2.5154,2.4454,2.8804,2.1413,2.3391,6.0558,20.1154,13.2924,2.4774,1.9616,1.8943,2.3164,2.5579,2.9187,2.0228,2.3535,15.4313,2.7374,2.7034,3.0378,2.5074,1.5906,1.8286,2.0089,2.0723,1.6505,2.5705,2.0551,3.2242,2.5051,2.7606,8.457,7.1989,9.4729,8.9704,8.1823,6.0218,3.2968,3.3587,2.2663,1.9961,2.3043,2.4654,1.96,0.926,0.5075,0.1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/3,0,0,0,0,0,1.0194,1.5693,3.6603,3.9345,4.8102,4.8377,4.4571,4.0791,5.6982,4.2711,4.0389,5.5048,1.8795,1.5951,1.7943,2.62,4.5037,6.9704,17.6834,19.4906,18.6232,19.5438,19.2999,5.6153,3.3176,4.323,2.23,3.7853,2.9347,3.9854,12.5894,21.1722,20.8623,16.9106,17.0869,3.3642,2.8403,2.1817,2.4429,1.7668,1.9857,1.7127,1.7943,2.9641,1.5555,4.5398,4.7281,4.7537,6.549,5.1384,6.2532,5.5556,6.0969,7.643,9.9604,3.5647,2.9073,3.3565,3.127,3.5086,2.9989,4.571,3.3922,5.7482,4.2484,4.28,2.5281,2.1419,2.4245,2.3522,2.6742,2.3956,2.8207,3.2962,3.1697,2.0913,2.2127,2.6057,4.3298,2.6005,3.0996,2.717,2.1618,3.2819,3.1659,2.9441,4.638,2.4245,3.6676,2.7889,3.7034,2.5134,4.5675,8.7637,8.8649,8.1558,9.5149,10.0106,10.3794,6.288,1.1556,0.972,1.5566,2.7108,2.4022,2.0633,3.0261,1.8126,2.8407,2.6896,1.1152,0.7948,1.3922,2.2051,0.8009,0.4915,0.1083,0.0962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/4,0,0,0,0,0,1.0172,2.8653,1.0313,2.2508,4.2246,2.8833,3.4441,6.5809,3.5784,2.4739,2.6078,3.1264,5.3069,3.5845,4.2709,3.3155,4.5776,3.7841,3.759,3.9206,3.4692,5.466,8.9017,5.0148,4.5546,4.8037,3.4957,3.3263,1.7168,3.8374,9.6383,16.5181,16.5059,16.4518,15.0432,15.2319,14.7977,15.7827,15.1198,17.7327,19.093,14.5317,15.1184,15.4437,15.6041,16.9956,20.1369,21.5878,17.5994,17.0312,10.7776,6.6123,7.1288,7.4905,7.8307,3.1628,2.4239,3.2804,2.7285,1.8147,2.4556,12.572,20.234,21.0204,17.9139,17.0983,16.0611,12.1525,17.0692,18.4474,17.1488,16.3859,17.6253,18.1308,17.2041,15.2652,12.7637,14.7331,22.6208,19.7945,21.6334,17.6657,17.6373,20.5636,20.6346,18.9551,22.7071,17.2276,16.6569,3.3789,1.551,1.9694,2.4267,2.0985,1.6103,2.8327,1.7395,2.1337,1.0685,1.0789,0.9894,1.054,1.5946,1.1156,1.3297,1.9068,3.559,3.8289,3.1713,0.9276,0.921,0.7513,0.7239,1.52,1.5202,0.7958,0.7843,0.0879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/5,0,0,0,0,0,0.0768,0.1534,2.1943,2.0688,6.4887,15.7914,4.5423,2.6117,6.7096,21.6027,10.0072,2.633,1.5325,2.4516,2.6175,4.0464,4.8209,4.0645,8.7222,9.2885,9.9555,10.1706,4.8271,6.3836,17.446,10.596,8.3791,9.6768,10.0604,7.2345,6.2516,18.9803,23.8171,19.702,5.9951,4.3672,5.0458,4.0762,4.9081,6.7401,4.291,4.9025,5.4475,4.7064,5.7644,7.2535,6.2905,7.82,7.517,11.3905,6.6565,13.5367,4.1554,5.4985,3.6355,3.4478,1.0759,1.9137,1.0711,1.5365,1.935,3.3652,3.8319,2.9617,1.6863,1.4211,1.642,4.4015,2.4976,2.4811,1.8686,2.1133,2.8267,2.3053,2.3852,1.9263,3.1077,1.7345,2.5845,5.4637,1.7485,2.536,2.6558,1.9419,1.9518,2.7259,4.7015,5.287,10.9691,7.5783,6.201,11.0798,1.8789,2.3479,2.2445,1.8702,1.3534,1.6984,2.1815,1.6281,1.2082,1.9537,10.3677,16.8944,9.1765,10.0796,2.2311,2.263,2.1973,1.8776,6.0338,0.6385,0.4467,0.2552,0.475,0.2394,0.4416,0.1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/8,0,0,0,0,0,0.0227,0.0703,0.5959,5.6097,7.7426,3.5742,11.1878,12.6984,11.9381,11.7363,8.65,2.8842,4.6221,11.344,9.6146,2.5829,3.0484,2.0913,1.7219,5.1299,1.8701,1.791,4.8771,4.7555,2.8428,2.9093,2.0277,1.9425,1.9666,3.1722,4.3878,6.4127,4.1549,4.4426,3.3956,4.5227,3.3695,4.2543,5.0359,5.2575,5.1176,3.7132,2.5685,3.0616,1.2994,4.6071,3.7695,10.0504,8.3902,7.4016,6.8234,6.9689,3.9854,4.0814,3.3059,2.2622,1.3193,1.3178,0.8583,0.9213,0.5957,1.6121,2.93,2.8263,2.7089,3.7699,1.7562,2.1956,1.3199,1.802,1.8619,1.5992,5.2033,2.6097,2.7003,1.8775,1.873,1.6941,1.0238,1.3809,1.3883,6.0744,1.7708,1.7924,1.1184,1.188,1.1919,1.8532,3.2521,2.0113,3.2385,2.6822,5.8345,16.9315,12.7528,14.8967,15.294,15.4257,17.104,7.6807,10.302,2.2493,2.0537,2.9805,2.7798,4.4835,3.2033,6.2055,3.4834,2.2339,2.8047,1.735,2.1221,0.6689,1.0484,1.0796,0.1258,0.0717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021/11/9,0,0,0,0,0,0,1.731,1.5105,1.9972,3.9619,7.6215,13.6617,13.1049,6.6501,6.4353,6.5428,5.4426,10.6264,6.8666,10.7469,7.7548,7.6032,2.7062,9.1133,6.4502,1.8495,1.6854,3.4526,3.4324,3.9832,3.2071,2.2346,2.7465,2.4936,6.4204,8.2105,7.9746,3.4498,4.7557,3.091,4.5958,3.3991,5.7496,6.7083,3.4739,2.4392,6.7922,3.3999,7.7131,9.6636,6.5748,7.0947,5.1019,4.2108,5.3648,3.9179,4.2741,5.9559,4.7886,3.5856,3.8122,5.0896,4.3802,2.2758,3.3948,3.4551,2.5484,3.4299,2.5205,2.4464,2.3227,3.4489,6.2482,3.6921,1.7732,3.4725,2.2829,4.3709,2.6922,2.0438,2.2693,3.7456,1.8883,3.1761,3.6451,2.6484,2.8162,2.6961,2.6566,3.0332,2.4143,2.4392,2.5189,3.8301,2.2982,3.6095,2.9938,2.0304,2.4612,2.0584,2.7898,2.0324,2.4441,4.158,2.544,3.5026,1.9696,1.6542,1.4012,1.3677,2.1059,1.9768,4.202,3.4839,4.4661,3.6412,1.554,2.4116,0.8515,0.5892,0.4343,0.8139,0.2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
